,Denmark_good_wind
clearance [m],10.0
sp [m2/W],360.0
p_rated [MW],4.0
Nwt,86.0
wind_MW_per_km2 [MW/km2],6.104484279983209
solar_MW [MW],0.0
surface_tilt [deg],49.99999999999999
surface_azimuth [deg],210.0
DC_AC_ratio,1.9999999999999998
b_P [MW],10.0
b_E_h [h],10.000000000000002
cost_of_battery_P_fluct_in_peak_price_ratio,19.999999999999993
ptg_MW [MW],50.00000000000001
NPV_over_CAPEX,0.5234594735864851
NPV [MEuro],177.40292664042187
IRR,0.10442136221531562
LCOE [Euro/MWh],39.23803291002106
CAPEX [MEuro],338.904797013119
OPEX [MEuro],15.192598075184126
penalty lifetime [MEuro],0.0
AEP [GWh],1032.2675426144285
GUF,0.39279586857474447
annual H2 [kg],5690223.941470388
grid [MW],300.0
wind [MW],344.0
solar [MW],0.0
PtG [MW],50.00000000000001
Battery Energy [MWh],100.00000000000001
Battery Power [MW],10.0
Total curtailment [GWh],0.0
Awpp [km2],56.352016685174625
Rotor diam [m],118.94160774351808
Hub height [m],69.47080387175905
Number_of_batteries,1.0
design obj,NPV_over_CAPEX
opt time [min],6.44
n_model_evals,184
