,Denmark_good_wind
clearance [m],12.0
sp [m2/W],345.0
p_rated [MW],4.0
Nwt,84.0
wind_MW_per_km2 [MW/km2],6.093781673949349
solar_MW [MW],13.0
surface_tilt [deg],35.10106190853262
surface_azimuth [deg],184.9158021323341
DC_AC_ratio,1.7873233996438453
b_P [MW],4.0
b_E_h [h],4.0
cost_of_battery_P_fluct_in_peak_price_ratio,3.687893416570902
ptg_MW [MW],48.0
NPV_over_CAPEX,0.5135932210475097
NPV [MEuro],177.80608422996877
IRR,0.10328814700643485
LCOE [Euro/MWh],38.43918252631023
CAPEX [MEuro],346.2002163255206
OPEX [MEuro],15.001057318052247
penalty lifetime [MEuro],0.0
AEP [GWh],1061.6142150483438
GUF,0.4039627911142861
annual H2 [kg],5566476.368991195
grid [MW],300.0
wind [MW],336.0
solar [MW],13.0
PtG [MW],48.0
Battery Energy [MWh],16.0
Battery Power [MW],4.0
Total curtailment [GWh],0.0
Awpp [km2],55.13817494256241
Rotor diam [m],121.49978444473813
Hub height [m],72.74989222236906
Number_of_batteries,1.0
design obj,NPV_over_CAPEX
opt time [min],5.44
n_model_evals,119
